"Id";"Riferimento";"Contenitore";"Quantità";"Valore";"Produttore";
1;"SW101";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm";1;"Rotary Encoder + Switch";;;
2;"U102";"SOP-20_7.5x12.8mm_P1.27mm";1;"ATtiny4313";;;
3;"J203";"OLED-128O064D";1;"SSD1306";;;
4;"R204";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"910K";;;
5;"R203,R202,R201,R103,R102";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"4K7";;;
6;"R105";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"180";;;
7;"R104";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"330";;;
8;"R101";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"560";;;
9;"D201";"D_SOD-323";1;"1N4148WS";;;
10;"C207";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10µF";;;
11;"C206";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"2.2µF/16V";;;
12;"C205,C104,C103,C102";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"0.1µF";;;
13;"C204,C203,C202,C201,C101";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";5;"1µF";;;
14;"U101";"SOT-23";1;"XC6206P";;;
15;"Q101";"SOT-23";1;"2N7002";;;
16;"J202";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
17;"J201";"PinHeader_1x02_P2.54mm_Vertical";1;"Power supply";;;
18;"J104,J101";"PinSocket_1x02_P2.54mm_Vertical";2;"Conn_01x02";;;
19;"BZ101";"PUIAudio_SMT_0825_S_4_R";1;"Buzzer";;;
20;"SW104";"B3W-9000-RG2";1;"B3W-9000-RG2N";;;
21;"SW103,SW102";"SW_SPST_Omron_B3FS-100xP";2;"10mm";;;
22;"J103";"PinHeader_2x03_P2.54mm_Vertical";1;"Header";;;
23;"J102";"JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical";1;"Header";;;
